Year,Genre,Owners
2001,Tutorial,0.0
2002,Tutorial,0.0
2003,Tutorial,0.0
2004,Tutorial,0.0
2005,Tutorial,0.0
2006,Tutorial,0.0
2007,Tutorial,0.0
2008,Tutorial,0.0
2009,Tutorial,0.0
2010,Tutorial,0.0
2011,Tutorial,0.0
2012,Tutorial,0.0
2013,Tutorial,0.0
2014,Tutorial,0.0
2015,Tutorial,0.0
2016,Tutorial,0.0
2017,Tutorial,0.0
2018,Tutorial,0.0
2019,Tutorial,0.0
2020,Tutorial,10000.0
2021,Tutorial,0.0
2022,Tutorial,0.0
2023,Tutorial,0.0
2024,Tutorial,0.0
2025,Tutorial,0.0
1997,Utilities,0.0
1998,Utilities,0.0
1999,Utilities,0.0
2000,Utilities,0.0
2001,Utilities,0.0
2002,Utilities,0.0
2003,Utilities,0.0
2004,Utilities,0.0
2005,Utilities,0.0
2006,Utilities,0.0
2007,Utilities,0.0
2008,Utilities,0.0
2009,Utilities,0.0
2010,Utilities,0.0
2011,Utilities,0.0
2012,Utilities,10000.0
2013,Utilities,705000.0
2014,Utilities,1540000.0
2015,Utilities,4975000.0
2016,Utilities,2785000.0
2017,Utilities,6890000.0
2018,Utilities,42160000.0
2019,Utilities,3745000.0
2020,Utilities,7860000.0
2021,Utilities,4320000.0
2022,Utilities,1760000.0
2023,Utilities,1190000.0
2024,Utilities,4985000.0
2025,Utilities,1185000.0
1997,Video Production,0.0
1998,Video Production,0.0
1999,Video Production,0.0
2000,Video Production,0.0
2001,Video Production,0.0
2002,Video Production,0.0
2003,Video Production,0.0
2004,Video Production,0.0
2005,Video Production,0.0
2006,Video Production,0.0
2007,Video Production,0.0
2008,Video Production,0.0
2009,Video Production,0.0
2010,Video Production,0.0
2011,Video Production,0.0
2012,Video Production,1500000.0
2013,Video Production,10000.0
2014,Video Production,510000.0
2015,Video Production,9200000.0
2016,Video Production,475000.0
2017,Video Production,1115000.0
2018,Video Production,1310000.0
2019,Video Production,545000.0
2020,Video Production,965000.0
2021,Video Production,3410000.0
2022,Video Production,475000.0
2023,Video Production,315000.0
2024,Video Production,495000.0
2025,Video Production,215000.0
1997,Violent,0.0
1998,Violent,0.0
1999,Violent,0.0
2000,Violent,0.0
2001,Violent,0.0
2002,Violent,0.0
2003,Violent,0.0
2004,Violent,0.0
2005,Violent,0.0
2006,Violent,0.0
2007,Violent,0.0
2008,Violent,0.0
2009,Violent,750000.0
2010,Violent,0.0
2011,Violent,0.0
2012,Violent,0.0
2013,Violent,0.0
2014,Violent,0.0
2015,Violent,700000.0
2016,Violent,2970000.0
2017,Violent,4135000.0
2018,Violent,2650000.0
2019,Violent,10000.0
2020,Violent,0.0
2021,Violent,10000.0
2022,Violent,0.0
2023,Violent,0.0
2024,Violent,0.0
2025,Violent,0.0
1997,Web Publishing,0.0
1998,Web Publishing,0.0
1999,Web Publishing,0.0
2000,Web Publishing,0.0
2001,Web Publishing,0.0
2002,Web Publishing,0.0
2003,Web Publishing,0.0
2004,Web Publishing,0.0
2005,Web Publishing,0.0
2006,Web Publishing,0.0
2007,Web Publishing,0.0
2008,Web Publishing,0.0
2009,Web Publishing,0.0
2010,Web Publishing,0.0
2011,Web Publishing,0.0
2012,Web Publishing,150000.0
2013,Web Publishing,735000.0
2014,Web Publishing,425000.0
2015,Web Publishing,2545000.0
2016,Web Publishing,225000.0
2017,Web Publishing,570000.0
2018,Web Publishing,525000.0
2019,Web Publishing,725000.0
2020,Web Publishing,700000.0
2021,Web Publishing,1625000.0
2022,Web Publishing,50000.0
2023,Web Publishing,60000.0
2024,Web Publishing,70000.0
2025,Web Publishing,40000.0
